Group	肝酶正常	肝酶正常	肝酶异常	肝酶异常	肝酶异常	肝酶正常	肝酶正常	肝酶异常
GLUTORN-PWY	0.000346117612242462	0.000301929838140175	0.000190980217318326	0.000115893296292713	0.000176382245421317	5.66230002063783e-05	8.4641939090988e-05	0.000275230078808428
GLYCOCAT-PWY	2.09501756276093e-05	4.24995202609194e-05	1.57396971222437e-05	5.6479574482658e-06	2.43559360618224e-05	2.96721538434821e-06	1.41482786025452e-06	7.37161614651013e-06
GLYCOGENSYNTH-PWY	0.000102755648100985	0.00015328770277704	0.000195019962416274	8.80472789852216e-05	0.000365919260866241	0.000146674461203224	0.00016174201607915	0.000325632311188808
GLYCOL-GLYOXDEG-PWY	7.99390651004029e-06	1.20985393183806e-05	5.61913048108424e-06	3.08488363091773e-06	3.29768515572409e-06	8.68765854437251e-07	5.31531132500824e-07	8.03294720364875e-07
GLYCOLYSIS-E-D	4.80048317413776e-05	6.49008594621866e-05	8.13342027515914e-05	3.44055720865951e-05	4.60842317993472e-05	2.34033803750025e-05	1.86676377310376e-05	3.71086429404725e-05
GLYCOLYSIS-TCA-GLYOX-BYPASS	5.22194358478304e-05	6.21894481079178e-05	3.89874590422337e-05	2.07917983784397e-05	2.7791364994643e-05	6.18584331933417e-06	4.76576445165827e-06	9.65493033548536e-06
GLYCOLYSIS	0.000171286342865113	0.000174110981526048	0.000121095503871871	0.00013333931681906	5.60013260462885e-05	0.000117299556058659	9.66845857992054e-05	5.49580047086786e-05
GLYOXYLATE-BYPASS	2.3799245770895e-05	3.48412317707847e-05	1.79663032534871e-05	1.0897904203033e-05	1.43305972593888e-05	2.26788332782439e-06	1.97332861520658e-06	4.41625943562379e-06
GOLPDLCAT-PWY	1.58380561997098e-05	2.46768992967579e-05	1.61672732038979e-05	8.1640292722234e-06	2.10969417738186e-05	6.89855908667751e-06	1.16465805505143e-05	1.77933503778125e-05
HCAMHPDEG-PWY	9.71677477494496e-06	3.47928382645144e-05	8.909822482287e-06	4.18092377758105e-06	5.3073108499448e-06	3.24699877996902e-07	4.48001433948351e-07	1.39529679784363e-06
HEME-BIOSYNTHESIS-II	2.78674617593748e-05	2.58811941921649e-05	1.95379807005148e-05	8.73208627356666e-06	8.42365805765135e-06	2.59501739643295e-06	1.35483108740651e-06	3.39324961447792e-06
HEMESYN2-PWY	6.21591651434224e-05	3.96534327916062e-05	6.31503167663005e-05	3.23242658736027e-05	2.0581276632139e-05	2.33707042602926e-05	2.92717808531151e-05	2.42993052798521e-05
HEXITOLDEGSUPER-PWY	0.00013553187107666	0.000148279082474103	9.72673820651976e-05	6.36504926743239e-05	6.39267798092659e-05	0.000103203922149367	9.49050191015939e-05	6.24304126902422e-05
HISDEG-PWY	3.48444724632111e-05	2.91015564716684e-05	2.50795270213381e-05	1.60946005189901e-05	1.39926672924108e-05	1.5948055411156e-05	9.02124213489296e-06	1.39243343018019e-05
HISTSYN-PWY	0.000167841278631366	0.000139775869331885	0.000200530212843652	0.00013877607341424	0.000286498085656636	0.000298835682206777	0.000379117091562557	0.000360082421995248
HOMOSER-METSYN-PWY	8.44502835646792e-05	9.07780623721313e-05	8.6141374897936e-05	3.53971141868896e-05	0.000157854072100469	0.000103356811460545	0.000138657927475566	0.000150888586724114
HSERMETANA-PWY	2.84872719251433e-05	1.92016063973712e-05	8.27068596265942e-05	3.48799801867224e-05	0.000119325053548026	9.80970860919362e-05	0.000117544701530109	0.000134845183566256
ILEUSYN-PWY	0.000501865923930153	0.000433729049054037	0.000637875288966872	0.000721407670996038	0.000771184881033929	0.000745516660361063	0.000770248520315604	0.0008760730294537
KDO-NAGLIPASYN-PWY	1.14259287809771e-05	1.917097333001e-05	1.14931592047827e-05	3.30924066084198e-06	4.34075070576755e-06	3.78495199885881e-07	4.50986773224997e-07	1.53994836216383e-06
KETOGLUCONMET-PWY	2.13888528157332e-05	2.54786618621002e-05	1.00147617284528e-05	3.85213150462795e-06	1.01429337579472e-05	1.37117727985552e-06	1.59163167671034e-06	2.88966690669393e-06
LACTOSECAT-PWY	1.5293446566583e-05	9.91719947681986e-06	1.05153212051045e-05	5.92258262968546e-06	5.17342847894883e-06	2.18262986291451e-06	3.34656757709927e-06	5.86535168604711e-06
LPSSYN-PWY	9.97432864369561e-06	2.7672776987862e-05	4.61553006995432e-06	1.43300539003097e-06	5.29207089154177e-06	3.13875784949982e-07	5.27351147336454e-07	2.08806022685723e-06
MET-SAM-PWY	0.000143743759879794	0.000164177159898901	0.000165976811045792	6.43495113350423e-05	0.000250198666868606	0.000178195853979054	0.000236531396306487	0.000263156850528689
METHGLYUT-PWY	1.20351157798607e-05	1.32348676644873e-05	4.57386750926758e-06	1.7775143004837e-06	2.51982561529466e-06	4.76510492934072e-07	4.19637722393702e-07	9.32145127345453e-07
METSYN-PWY	0.000135886360117571	0.000147143986816682	0.000146589750455801	6.55746273362323e-05	0.000238882416047428	0.00017366583048593	0.000222306343707197	0.000234286234046689
NAD-BIOSYNTHESIS-II	4.66904332322595e-05	4.08246079778527e-05	2.18391523653807e-05	1.4040592178651e-05	1.32756820375951e-05	3.45808759920488e-06	4.41842449727552e-06	5.47210764460408e-06
NAGLIPASYN-PWY	4.5398124503068e-05	5.46277708933779e-05	7.28609733405167e-05	4.16628239526963e-05	1.93970681576325e-05	1.10683671185284e-05	5.97864252663772e-06	2.17534264385876e-05
NONMEVIPP-PWY	0.000486393803880791	0.000477930006885685	0.000511234902281414	0.000553930728246293	0.000592595392903343	0.000671895151479227	0.000656501896662825	0.000621934816643387
NONOXIPENT-PWY	0.00018102590328382	0.000208985728532641	0.00031609986937008	0.000265970717900692	0.00057294729640175	0.000435323051190598	0.00049113379074123	0.000565302082211104
OANTIGEN-PWY	0.000124378325307987	0.000117186827180518	0.000124544200304422	5.70560236693249e-05	0.000237545714398228	0.000211670314956213	0.000334585330695609	0.000324597559784867
ORNARGDEG-PWY	1.15664495717445e-05	1.8152653215045e-05	8.00853530626065e-06	4.10334694537005e-06	3.75756576400007e-06	2.78066972870513e-07	0	1.60734544643545e-06
ORNDEG-PWY	8.94254198331768e-06	1.23743371599794e-05	1.06392245683618e-05	5.56421777513645e-06	2.44617900227835e-06	9.70032940199575e-07	0	1.55468851685041e-06
P105-PWY	3.437950152619e-05	4.54117677021387e-05	2.72490376925937e-05	1.41542102657619e-05	2.40199197422506e-05	5.25003771530209e-06	4.12180011576678e-06	1.02063251366453e-05
P108-PWY	5.20316476035676e-06	3.69545675197907e-06	3.55125321494038e-06	6.47272746499883e-06	1.97085430560629e-06	3.48961084084098e-06	1.72526323454422e-06	2.00565202982929e-06
P122-PWY	2.9566380193792e-05	6.45734710850748e-06	4.23881459075327e-05	7.86035141083979e-06	8.57932727321446e-06	1.90978686007748e-06	9.53296500009588e-08	2.42688911110835e-06
P124-PWY	0	7.93499063059359e-06	2.28349529221035e-05	2.88560987464316e-06	7.12682966759899e-06	2.38136640375475e-06	2.41836692204444e-06	6.29913331859374e-06
P125-PWY	3.10532506043061e-07	8.43753377607146e-07	2.67376486515492e-07	0	0	1.49398723495839e-07	1.0969891018485e-07	0
P161-PWY	4.95026331743979e-05	7.35079419872472e-05	3.41687532615835e-05	1.7201838272482e-05	2.52385172924638e-05	1.03259520641462e-05	1.05043752831728e-05	1.2552520552243e-05
P162-PWY	5.23058598352418e-05	4.94170874914245e-05	1.27401161650101e-05	1.33729502317312e-05	1.21184512369842e-05	1.3734779681847e-05	1.15280092098256e-05	1.12103270438408e-05
P163-PWY	1.94173614535878e-06	0	3.09499011561782e-07	3.58097937638795e-07	0	0	0	0
P164-PWY	2.38481646256065e-05	2.86105409498331e-05	2.65676880708845e-05	1.53819440827522e-05	5.37068473899703e-05	2.32167148876407e-05	2.34251363754348e-05	4.70077882969098e-05
P185-PWY	2.92914216301188e-05	4.03903601015828e-05	2.27949266223161e-05	1.16776529493425e-05	3.38831965404143e-05	1.61859364248984e-05	1.34324558580062e-05	2.8690387188479e-05
P23-PWY	2.4049979447739e-06	1.68628244857844e-05	6.21357461576093e-06	2.48788352128067e-07	7.36998832617335e-08	4.54822035699269e-06	2.26154224084136e-06	2.34993110428632e-06
P4-PWY	7.02054925503586e-05	9.77027407521758e-05	0.000124934794202833	5.85105478875519e-05	0.000187226377411545	0.000181377895541871	0.000240113649153054	0.000245887582547873
P42-PWY	8.59751534079064e-05	6.58021422730915e-05	4.46801732914092e-05	1.9665047913571e-05	5.00732352333955e-05	5.76087448810663e-05	4.24734047482845e-05	3.31554718835073e-05
P441-PWY	8.71127558356281e-05	9.67222586132902e-05	8.13980579328005e-05	4.61115560434776e-05	5.78715367983598e-05	2.59107582136062e-05	2.73524926004645e-05	4.55193287882204e-05
P461-PWY	0.0001151082172001	0.000124658999983944	4.90397816979641e-05	2.21527344097799e-05	0.000127239475556952	7.13056884158052e-05	8.08614427719312e-05	0.00010116388437322
PANTO-PWY	0.000459345689532632	0.000448323591759997	0.000483541897219608	0.000584936661719384	0.00044498280779934	0.00047305849512785	0.000448103376870269	0.000421533444420724
PANTOSYN-PWY	0.000248010256204513	0.000248164220421665	0.000208484225941476	0.000164327767726858	0.000368407049523144	0.000334343198179178	0.000358472681356777	0.000352005332236341
PENTOSE-P-PWY	4.79035466678434e-05	7.84317206556531e-05	9.59312625347449e-05	2.76758171869358e-05	0.000110277126020765	3.87581396326538e-05	3.44785745744432e-05	6.34013021498796e-05
PEPTIDOGLYCANSYN-PWY	0.00051640987882638	0.000498268986355005	0.000580144310198403	0.000601947428814249	0.000632634142527304	0.000690455560246167	0.00072489739589682	0.000664818374192382
PHOSLIPSYN-PWY	0.000193350622230375	0.0001891737824337	0.000175237367319983	0.000113385833014267	9.53866626910837e-05	5.0736989346214e-05	2.41479993349158e-05	6.67748630925988e-05
POLYAMINSYN3-PWY	9.35594883326729e-06	1.67499278155478e-05	8.35158995492405e-06	2.362280077268e-06	4.81331226494858e-06	1.33103901266728e-05	9.5021996545929e-06	7.33323612644747e-06
POLYAMSYN-PWY	2.87466361513385e-05	4.04387565110037e-05	3.53637258277441e-05	3.14467109677709e-05	5.15303393239397e-05	4.91597536051079e-05	4.84496107656584e-05	6.67407394571234e-05
POLYISOPRENSYN-PWY	1.7365873812071e-05	2.30813342141044e-05	1.25836975776864e-05	4.9486409033831e-06	7.02155853644122e-06	1.32274298748564e-06	1.86106099201841e-06	2.21645636555697e-06
PPGPPMET-PWY	3.96628490833431e-05	5.45422993532864e-05	3.24998204209338e-05	1.50644993497607e-05	6.7862093910127e-05	6.31986790860644e-05	6.70055972718713e-05	5.47266839922869e-05
